"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","ZE01","ZE04","Time_sum_m","IS_mean","IS_K_mean","IS_E_mean","CPE_mean","CPE_C_mean","CPE_I_mean","CPE_M_mean","CPE_E_mean","PS_mean","OC_A_mean","QQ_Anand_mean","QQ_Eigene_mean","QQ_Gesamt_mean","SL_mean"
"109",109,55,2,5,NA,39.6666666666667,2,25,2,1,1,1,1,11.5666666666667,5,5.25,4.75,5.25,5.25,5.25,5.5,5,6,4,2,2,2,5.85714285714286
"110",110,54,1,8,NA,24.4166666666667,2,40,4,2,2,1,1,11.2666666666667,2.875,4,1.75,5.3125,5.5,5.25,5.25,5.25,5.71428571428571,4,2.42857142857143,1.83333333333333,2.15384615384615,5.28571428571429
"111",111,36,1,6,NA,7.16666666666667,2,38,4,1,4,1,1,11.5166666666667,5,5.75,4.25,3.3125,3.25,3.25,3,3.75,5.28571428571429,2.2,3,2,2.53846153846154,2.14285714285714
"112",112,26,2,7,NA,0.666666666666667,2,40,3,1,1,1,1,6.18333333333333,2.25,2.75,1.75,6.0625,6.75,6,5.75,5.75,6.28571428571429,3.6,2.28571428571429,2,2.15384615384615,6
"113",113,33,2,7,NA,3.66666666666667,2,40,5,1,6,1,1,6.21666666666667,3.125,3.75,2.5,5.1875,5.5,4.75,4.5,6,5.71428571428571,4.2,1.42857142857143,1.83333333333333,1.61538461538462,5.85714285714286
"114",114,23,1,4,NA,0.5,1,30,2,1,3,1,1,8.11666666666667,2.5,2.75,2.25,7,7,7,7,7,6.85714285714286,4.8,2,2.5,2.23076923076923,6.71428571428571
"115",115,52,2,4,NA,4.83333333333333,2,25,2,1,1,1,1,12.8833333333333,2.625,2,3.25,4.0625,3.5,3.75,5.25,3.75,6.14285714285714,3.8,2.85714285714286,3.33333333333333,3.07692307692308,5
"116",116,57,2,3,NA,10.3333333333333,2,15,1,1,1,1,1,8.18333333333333,1.5,1,2,2.8125,2.75,3.5,2.25,2.75,3.57142857142857,2,2.71428571428571,2.33333333333333,2.53846153846154,3
"117",117,54,2,5,NA,1.25,2,25,2,1,1,1,1,14.7166666666667,2.25,2.5,2,6.375,6.25,6.75,6.5,6,6.28571428571429,5,1.14285714285714,1.5,1.30769230769231,5
"118",118,52,1,5,NA,23.3333333333333,2,42,4,1,1,1,1,11.85,1.375,1.75,1,5.4375,5.25,5.75,6,4.75,3.14285714285714,3.4,2.28571428571429,2,2.15384615384615,4.14285714285714
"119",119,21,2,4,NA,3.83333333333333,2,15,1,1,1,1,1,8.76666666666667,2.75,2.75,2.75,2.9375,2.25,3.75,4,1.75,4.57142857142857,2.6,2.71428571428571,2.33333333333333,2.53846153846154,3.42857142857143
"120",120,30,2,7,NA,2.41666666666667,2,40,3,1,5,1,1,9.86666666666667,4.625,6,3.25,4,3.5,3.75,4.25,4.5,5,3,3.85714285714286,2.33333333333333,3.15384615384615,4.28571428571429
"121",121,57,2,5,NA,4,2,40,4,1,4,1,1,13.5833333333333,4.125,5.5,2.75,5.5625,6.25,3.25,6.5,6.25,6.57142857142857,1.6,2.14285714285714,2,2.07692307692308,3
"122",122,36,2,7,NA,11.3333333333333,2,30,2,1,3,1,1,8.15,2.5,2,3,4.25,4.75,4.25,4.25,3.75,6.71428571428571,3.8,2.57142857142857,3.33333333333333,2.92307692307692,2.42857142857143
"123",123,25,1,4,NA,4.16666666666667,2,40,3,1,1,1,1,9.86666666666667,2.25,3.25,1.25,5.375,5.25,6.5,5.5,4.25,5.57142857142857,3.2,2.57142857142857,2.5,2.53846153846154,5.28571428571429
"124",124,46,1,7,NA,3.75,2,0,5,4,4,1,1,8.15,2.375,3.75,1,6.3125,6.75,6.5,6,6,6.14285714285714,5,1.85714285714286,1.5,1.69230769230769,1.57142857142857
"125",125,56,2,2,NA,40.6666666666667,2,28,4,1,4,1,1,11.8833333333333,1.5,1.75,1.25,6.8125,6.75,7,6.5,7,6.42857142857143,4,1.28571428571429,1.5,1.38461538461538,6.57142857142857
"126",126,30,2,3,NA,6.83333333333333,2,30,2,1,3,1,1,6.76666666666667,4.25,3.25,5.25,5.375,5.25,5.25,5.25,5.75,5.57142857142857,3.8,2.42857142857143,2.33333333333333,2.38461538461538,4.71428571428571
"127",127,41,1,7,NA,13.4166666666667,2,40.06,5,2,3,1,1,10.5,4.25,5,3.5,4.5625,4.25,4.25,5,4.75,5,3.6,2.28571428571429,2.33333333333333,2.30769230769231,5.14285714285714
"128",128,44,2,7,NA,18,2,30,3,1,3,1,1,8.06666666666667,3.875,3.25,4.5,3.625,3,3.75,3.5,4.25,5.14285714285714,3.8,2.28571428571429,2.16666666666667,2.23076923076923,4.14285714285714
"129",129,39,2,7,NA,7.75,2,30,2,1,3,1,1,6.08333333333333,1.5,2,1,4.125,3.25,5.75,2.75,4.75,6.42857142857143,4,4,1.83333333333333,3,4.42857142857143
"130",130,30,1,7,NA,1.33333333333333,2,35,4,1,1,1,1,10.85,3.75,4.5,3,4.9375,4.75,5,4.75,5.25,5.28571428571429,2.2,2.28571428571429,1.83333333333333,2.07692307692308,3.85714285714286
"131",131,NA,2,7,NA,11,2,26,2,1,5,1,1,9.56666666666667,3.5,4.25,2.75,4.375,4.5,5,3.25,4.75,5.28571428571429,3.6,2.42857142857143,2.33333333333333,2.38461538461538,2.57142857142857
"132",132,35,1,3,NA,14.5,2,39,3,1,1,1,1,12.5833333333333,4.125,4,4.25,2.9375,2,2.75,3.5,3.5,4,2.6,3.28571428571429,3.16666666666667,3.23076923076923,3.42857142857143
"133",133,33,1,6,NA,3.75,2,40,3,1,5,1,1,9.88333333333333,5,5.75,4.25,3.875,3.5,3.75,4.5,3.75,6.42857142857143,2.6,2.57142857142857,2,2.30769230769231,3.57142857142857
"134",134,44,2,7,NA,20.3333333333333,2,30,5,3,1,1,1,7.41666666666667,4,3.5,4.5,5.25,5.5,5.5,5,5,6,5,1,1.5,1.23076923076923,6.42857142857143
"135",135,41,2,7,NA,2,1,38,2,1,3,1,1,8.53333333333333,2.5,3,2,7,7,7,7,7,6,4.6,1,1.5,1.23076923076923,7
"136",136,56,1,2,NA,16,2,35,5,2,1,1,1,10.5333333333333,2.625,2.25,3,6.1875,6,6,6.75,6,6,4,2.14285714285714,2,2.07692307692308,5.85714285714286
"137",137,40,2,7,NA,4.58333333333333,2,40,4,1,1,1,1,7.8,2.5,3,2,5.25,5.25,5,5.25,5.5,5.14285714285714,4.2,1.28571428571429,1.16666666666667,1.23076923076923,5.57142857142857
"138",138,60,2,7,NA,4.75,2,40,4,3,1,1,1,13.3333333333333,3.625,4.25,3,5.625,6.25,6,5.25,5,6.57142857142857,4,1.71428571428571,1.5,1.61538461538462,4.85714285714286
"139",139,53,2,5,NA,30,2,40,3,1,1,1,1,9.58333333333333,4.25,4,4.5,4.4375,5.25,5.25,3.25,4,5.14285714285714,4.2,2.42857142857143,2,2.23076923076923,3.57142857142857
"140",140,55,2,3,NA,30.0833333333333,2,20,2,1,1,1,1,11.55,1.375,1.5,1.25,5.5,6.25,5.25,5,5.5,5.71428571428571,4,1.42857142857143,1.66666666666667,1.53846153846154,4.71428571428571
"141",141,28,2,7,NA,1.25,2,40,4,1,6,1,1,5.9,1.75,1,2.5,6.75,7,6.75,6.5,6.75,6.71428571428571,4.6,2,2,2,5.14285714285714
"142",142,NA,2,7,NA,7,2,40,NA,1,3,1,1,10.45,5.5,6,5,3.75,3.5,4.25,3.25,4,4.42857142857143,1.8,2.57142857142857,2.16666666666667,2.38461538461538,2.42857142857143
"143",143,47,2,7,NA,1.41666666666667,2,40,4,2,2,1,1,7.93333333333333,3,3.75,2.25,5.6875,6,5.25,5.25,6.25,6.57142857142857,4,2.14285714285714,1.33333333333333,1.76923076923077,5.85714285714286
"144",144,30,2,4,NA,6.83333333333333,2,40,4,2,1,1,1,5.66666666666667,4,4.25,3.75,5.25,5.25,4.5,5.75,5.5,6.14285714285714,3.6,2,1.83333333333333,1.92307692307692,4.85714285714286
"145",145,31,2,6,NA,1.83333333333333,2,40,3,1,1,1,1,9.58333333333333,1.875,2.25,1.5,4.125,4.25,3.75,4.5,4,5.57142857142857,4.2,1.85714285714286,1,1.46153846153846,5.14285714285714
"146",146,26,2,6,NA,1.16666666666667,1,36,3,1,4,1,1,6.16666666666667,1.5,2,1,6.0625,6.25,5.5,6,6.5,6.42857142857143,5,2,1.33333333333333,1.69230769230769,5.57142857142857
"147",147,47,2,6,NA,1,2,30,3,1,1,1,1,6.18333333333333,5,5.25,4.75,4.5,4.5,4.5,5,4,2.42857142857143,2,2.85714285714286,4.33333333333333,3.53846153846154,2.57142857142857
"148",148,62,2,7,NA,15.6666666666667,2,20,3,2,1,1,1,12.5,3.875,4.75,3,5.5,5.5,5,5.75,5.75,4.85714285714286,3.4,2,1.16666666666667,1.61538461538462,3.28571428571429
"149",149,50,2,7,NA,12,2,20,2,1,1,1,1,12.4166666666667,4.25,4.75,3.75,4.75,4.75,5.25,4.75,4.25,4.28571428571429,3.8,2.57142857142857,2.5,2.53846153846154,4
"150",150,57,2,2,NA,9.08333333333333,2,29,2,1,1,1,1,13.0166666666667,3,5,1,3.625,3.25,3,4.25,4,3.14285714285714,2.6,2.71428571428571,1.83333333333333,2.30769230769231,1.28571428571429
"151",151,53,2,3,NA,30,2,22,2,1,4,1,1,9.06666666666667,2.5,2.5,2.5,4.375,4.25,4.5,4.25,4.5,5,3,2,1.66666666666667,1.84615384615385,3.42857142857143
"152",152,49,2,5,NA,9.58333333333333,2,19.5,2,1,6,1,1,8.76666666666667,1.625,2.25,1,6.3125,6,7,6,6.25,6.57142857142857,5,1.57142857142857,1.83333333333333,1.69230769230769,5.71428571428571
"153",153,24,2,6,NA,0.75,1,20,2,1,2,1,1,9.21666666666667,1.75,2,1.5,6.0625,6.5,6,5.75,6,6.42857142857143,3,1.85714285714286,2.33333333333333,2.07692307692308,5.28571428571429
"154",154,48,2,4,NA,25.0833333333333,2,39,3,4,1,1,1,7.73333333333333,5.25,5.75,4.75,6.25,6,6,6.5,6.5,3.28571428571429,5,3.28571428571429,4.33333333333333,3.76923076923077,6.42857142857143
