"","ID","Alter","Geschlecht","Bildung","Bildung_sonstig","BZG","Beschaeftigungsart","Arbeitszeitmodell","Gehalt_n","Position_im_Unternehmen","Remotarbeit","IS_K01","IS_K02","IS_K03","IS_K04","IS_E05","IS_E06","IS_E07","IS_E08","OC_A01","OC_A02","OC_A03","OC_A04","OC_A05","CPE_C01","CPE_C02","CPE_C03","CPE_C04","CPE_I05","CPE_I06","CPE_I07","CPE_I08","CPE_M09","CPE_M10","CPE_M11","CPE_M12","CPE_E13","CPE_E14","CPE_E15","CPE_E16","PS_01","PS_02","PS_03","PS_04","PS_05","PS_06","PS_07","QQ_01","QQ_02","QQ_03","QQ_04","QQ_05","QQ_06","QQ_07","QQ_N08","QQ_N09","QQ_N10","QQ_N11","QQ_N12","QQ_N13","QQ_N14","SL_01","SL_02","SL_03","SL_04","SL_05","SL_06","SL_07","ZE01","ZE04","TIME_SUM","TIME_RSI","Time_sum_m"
"43",43,62,1,3,NA,45.6666666666667,2,40,5,1,1,2,5,1,1,1,1,1,1,5,5,5,4,5,6,5,5,6,6,6,3,5,5,5,6,6,5,5,5,7,6,7,7,6,6,7,4,1,1,1,1,4,1,2,2,1,1,3,1,1,4,6,2,7,5,4,7,6,1,1,696,0.82,11.6
"44",44,51,2,7,NA,3.91666666666667,2,40,3,0,4,3,3,2,3,2,3,3,3,4,3,3,3,3,3,5,3,5,3,3,2,3,3,4,3,3,3,3,3,5,5,6,3,3,6,5,3,2,2,2,3,2,2,2,2,2,3,2,2,2,3,5,3,5,4,2,4,6,1,1,832,0.72,13.8666666666667
"45",45,60,1,7,NA,6,2,39,3,0,1,4,5,2,4,2,3,3,2,4,4,3,3,4,4,5,5,4,4,3,6,3,3,3,5,5,3,5,6,5,6,6,5,5,5,5,5,2,1,2,2,3,1,3,3,2,3,2,2,2,2,4,3,5,3,3,5,6,1,1,810,0.3,13.5
"46",46,28,2,6,NA,10.6666666666667,2,38.5,3,1,2,3,4,5,3,5,4,5,2,3,5,3,4,2,5,6,4,6,4,6,5,5,4,5,4,7,4,6,5,5,6,7,7,6,6,6,5,2,1,4,2,2,2,2,3,1,1,1,4,1,2,5,4,6,2,3,6,6,1,1,676,0.98,11.2666666666667
"47",47,24,1,6,NA,5,2,9,1,0,1,4,5,3,5,5,3,1,3,1,4,2,2,3,5,3,5,5,5,4,5,4,3,5,5,6,1,1,2,1,2,7,3,2,2,7,6,3,1,5,2,1,1,3,4,2,1,1,4,1,2,7,1,3,4,1,2,6,1,1,567,0.85,9.45
"48",48,27,1,3,NA,0.666666666666667,1,39,2,0,1,4,5,3,3,5,2,5,6,3,2,2,2,2,5,7,6,5,2,5,2,2,2,5,5,5,3,3,3,2,3,5,1,6,6,6,6,4,1,2,3,5,2,2,2,1,2,2,3,4,4,6,5,3,2,1,6,6,1,1,517,1.38,8.61666666666667
"49",49,33,2,3,NA,3,2,30,3,0,2,6,5,4,3,6,5,5,4,3,2,4,3,3,4,5,4,5,5,4,5,3,3,3,5,4,3,5,4,2,4,3,4,3,3,5,3,2,1,3,2,2,4,3,4,2,2,2,2,2,2,5,5,4,3,3,3,5,1,1,683,0.88,11.3833333333333
"50",50,53,2,3,NA,12.4166666666667,2,15,1,0,1,6,6,1,6,3,3,2,5,3,4,3,3,2,5,5,4,4,4,4,6,4,4,4,6,4,5,5,6,6,3,4,3,3,3,5,4,2,2,2,1,2,2,2,3,1,2,3,1,2,2,6,5,6,6,4,5,6,1,1,583,0.89,9.71666666666667
"51",51,54,1,4,NA,38.6666666666667,2,40,5,0,2,3,5,2,5,2,3,2,2,3,1,1,1,3,3,5,6,6,7,6,7,7,5,5,6,6,5,5,6,6,6,4,6,6,7,5,6,1,1,2,2,1,1,4,4,2,3,2,1,1,1,2,2,2,2,1,7,6,1,1,924,0.42,15.4
"52",52,23,2,4,NA,1.08333333333333,2,35,2,1,1,7,7,1,7,6,2,1,6,5,5,5,5,4,7,7,7,6,7,7,7,6,7,6,5,7,7,6,7,6,6,7,7,5,7,7,7,1,1,1,1,1,1,2,2,1,1,1,1,1,1,5,5,6,3,3,6,7,1,1,489,1.34,8.15
